,date,content,coordinates,place
42,2022-04-12 17:08:56+00:00,Lakas ng ulan.,"{'longitude': 120.9272236, 'latitude': 14.3576337}","{'fullName': 'Bacoor, Calabarzon', 'name': 'Bacoor', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
43,2022-04-12 17:01:48+00:00,@nano_silver10 Baha man,"{'longitude': 124.8960325, 'latitude': 11.1808072}","{'fullName': 'Tacloban City, Eastern Visayas', 'name': 'Tacloban City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
44,2022-04-12 17:01:17+00:00,Pota anlakas ng ulan,"{'longitude': 120.8840735, 'latitude': 14.3532317}","{'fullName': 'Imus, Calabarzon', 'name': 'Imus', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
45,2022-04-12 16:54:00+00:00,"lakas ng ulan , lamiggg","{'longitude': 120.5678964, 'latitude': 14.0404224}","{'fullName': 'Nasugbu, Calabarzon', 'name': 'Nasugbu', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
46,2022-04-12 16:52:37+00:00,grabe yung ulan may kasamang lungkot eMz,"{'longitude': 120.6676053, 'latitude': 13.9017536}","{'fullName': 'Balayan, Calabarzon', 'name': 'Balayan', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
47,2022-04-12 16:52:15+00:00,Nagising ako sa lakas ng ulan 🥺,"{'longitude': 120.9272236, 'latitude': 14.3576337}","{'fullName': 'Bacoor, Calabarzon', 'name': 'Bacoor', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
48,2022-04-12 16:51:08+00:00,"My heart is full! 💗💗💗 Sama-sama. Tulong-tulong. 

Project Angat Tarp 1! Grabeeee, yung SPIRIT OF VOLUNTEERISM! 🙏🙏🙏

Maraming salamat po sa lahat ng tumulong sa iba't ibang pamamaraan! 🙏🙏🙏

#LENIwanagAngSilangan
#BinangonanForLeniKiko

@lenirobredo https://t.co/1AAZCVxC51","{'longitude': 121.1540357, 'latitude': 14.2886352}","{'fullName': 'Binangonan, Calabarzon', 'name': 'Binangonan', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
49,2022-04-12 16:50:39+00:00,@Sboy_maguillo Wala abi untat ang ulan. Muna ang katalaka.,"{'longitude': 122.6305936, 'latitude': 10.7783029}","{'fullName': 'Dumangas, Western Visayas', 'name': 'Dumangas', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
50,2022-04-12 16:45:11+00:00,Linte. Seryoso na gali ang baha kuha pa nmon magwine2 ddto sa boardwalk ya. Sorry lungs 😟,"{'longitude': 122.6305936, 'latitude': 10.7783029}","{'fullName': 'Dumangas, Western Visayas', 'name': 'Dumangas', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
51,2022-04-12 16:44:15+00:00,wawa love q basang basa sa ulan 🥲,"{'longitude': 120.9416422, 'latitude': 14.5438774}","{'fullName': 'Manila City, National Capital Region', 'name': 'Manila City', 'type': 'city', 'country': 'Republic of the Philippines', 'countryCode': 'PH'}"
